time_s,acc_DOF3_mps2,acc_DOF4_mps2,acc_DOF5_mps2,acc_DOF6_mps2
0.525,0.01070886,0.01318085,0.01581591,0.01646809
0.53,0.01357801,0.01455184,0.01773635,0.01787991
0.535,0.01403571,0.01631011,0.0197448,0.01702413
0.54,0.01609136,0.01907044,0.0194223,0.01910734
0.545,0.0154654,0.0198055,0.02213915,0.02041754
0.55,0.01935522,0.02223225,0.02346088,0.02141165
0.555,0.02132485,0.02089216,0.02278524,0.0220444
0.56,0.02224843,0.02048729,0.0240063,0.02102694
0.565,0.02134923,0.02275806,0.02091426,0.02088457
0.57,0.02155414,0.02074641,0.02160179,0.02156236
0.575,0.02353036,0.02257879,0.01877114,0.02018355
0.58,0.0198585,0.02086547,0.01939959,0.01907847
0.585,0.01989443,0.0183609,0.01625554,0.0163177
0.59,0.01809776,0.01738433,0.01563029,0.01516248
0.595,0.01541501,0.01340884,0.01373815,0.01295349
0.6,0.01477185,0.01193272,0.01138332,0.00946944
0.605,0.01008075,0.01069078,0.0080764,0.00744243
0.61,0.00885447,0.00777282,0.00685938,0.00529633
0.615,0.00832236,0.00618073,0.00479611,0.00368919
0.62,0.00599927,0.00513682,0.00297869,0.00171325
0.625,0.00617344,0.00480606,0.00321324,0.00180025
0.63,0.00479492,0.00424157,0.00130455,0.00081791
0.635,0.00505933,0.00454308,0.00207529,0.00010548
0.64,0.00461967,0.0023536,0.00056424,0.00025382
0.645,0.00331365,0.00469552,0.00168987,0.00030551
0.65,0.00608392,0.0038869,0.00190596,-0.00193892
0.655,0.00613822,0.00485382,0.00117522,0.00107054
0.66,0.00641198,0.00604856,0.00165169,0.00104979
0.665,0.00703211,0.00483789,0.00423121,0.00024237
0.67,0.00557702,0.00626614,0.00517086,0.0020532
0.675,0.00866355,0.00701539,0.00559976,0.00335333
0.68,0.00682103,0.00690665,0.00532056,0.00493479
0.685,0.00701599,0.00913724,0.00501474,0.00225712
0.69,0.00795437,0.00763362,0.00478073,0.00217336
0.695,0.00839401,0.00690246,0.00409732,0.00396413
0.7,0.00905498,0.00267435,0.00324366,0.00319793
0.705,0.00648573,0.0055537,0.00270568,-0.00121666
0.71,0.00425254,0.0028867,0.00224238,-0.00109867
0.715,0.00320889,0.00108865,-0.0002252,-0.00218412
0.72,0.00474452,0.00018229,-0.00300846,-0.00315821
0.725,0.0014825,-0.0008035,-0.00382537,-0.00466933
0.73,-0.00047423,-0.00276979,-0.00498418,-0.00545754
0.735,-0.00255976,-0.00349836,-0.00585925,-0.00688806
0.74,-0.00236796,-0.0035894,-0.00745685,-0.00828485
0.745,-0.00291199,-0.00542627,-0.00612572,-0.00915044
0.75,-0.00386818,-0.0053537,-0.00821423,-0.01079182
0.755,-0.00409134,-0.00511637,-0.01000611,-0.01067311
0.76,-0.00585979,-0.00814154,-0.0121498,-0.01267669
0.765,-0.00778062,-0.00771228,-0.01220072,-0.01141686
