time_s,acc_DOF1_mps2,acc_DOF2_mps2,acc_DOF3_mps2,acc_DOF4_mps2
0.0,0.00272691,0.00536575,0.00798932,0.01120896
0.005,0.00559378,0.0068375,0.01114822,0.01284861
0.01,0.00820796,0.01107646,0.01357021,0.01667362
0.015,0.01153732,0.01342661,0.01483021,0.01657837
0.02,0.01324903,0.01662836,0.01746729,0.01917869
0.025,0.01525707,0.01544712,0.01853598,0.0210181
0.03,0.01688041,0.01778676,0.02017692,0.0215363
0.035,0.01761484,0.01757183,0.02084074,0.02004541
0.04,0.01459293,0.01828092,0.01936637,0.02224001
0.045,0.01784806,0.01745554,0.02071899,0.01974369
0.05,0.01671595,0.01781176,0.01921873,0.020591
0.055,0.0167798,0.01760732,0.01870985,0.01900469
0.06,0.01465822,0.01549942,0.01635822,0.01759939
0.065,0.01407144,0.01741016,0.01468323,0.01449096
0.07,0.01410447,0.01534011,0.01467887,0.01492373
0.075,0.01383208,0.01273356,0.01149829,0.012145
0.08,0.01254742,0.01042405,0.01184699,0.01167846
0.085,0.01063331,0.01180993,0.01147909,0.01270295
0.09,0.01111592,0.00990156,0.00964203,0.00874258
0.095,0.01119501,0.00958201,0.00966672,0.00975901
0.1,0.00945396,0.00969401,0.00764356,0.00759191
0.105,0.00970415,0.01041414,0.01061077,0.0085183
0.11,0.01074694,0.01030708,0.01057564,0.00944513
0.115,0.01104396,0.00934899,0.01055731,0.00904671
0.12,0.01230216,0.0105782,0.01180461,0.00846249
0.125,0.01294532,0.01094839,0.00951476,0.00783545
0.13,0.01140946,0.01241551,0.01096325,0.00973415
0.135,0.00929406,0.01176351,0.01072024,0.00847851
0.14,0.01103673,0.01099328,0.01178741,0.00783509
0.145,0.01111329,0.01217904,0.00938907,0.00825817
0.15,0.01141088,0.00928659,0.00971093,0.00702238
0.155,0.01188984,0.01015358,0.01133476,0.00801994
0.16,0.01201505,0.00841404,0.00842557,0.00749744
0.165,0.01203169,0.00758564,0.00900811,0.00716589
0.17,0.01148712,0.00954938,0.00755152,0.005457
0.175,0.0084387,0.00865897,0.0068372,0.00744279
0.18,0.00890065,0.00849315,0.00506427,0.00453918
0.185,0.00970229,0.00880297,0.00777644,0.00448812
0.19,0.00835594,0.00833976,0.00663247,0.00471038
0.195,0.00888896,0.00899836,0.00606835,0.00468184
0.2,0.01102869,0.0085052,0.00617998,0.00594773
0.205,0.01016401,0.00763255,0.00592297,0.00509949
0.21,0.0101451,0.0084251,0.0068747,0.0028833
0.215,0.00828,0.00806368,0.00566677,0.00246779
0.22,0.01066463,0.00804741,0.00402888,0.00311536
0.225,0.0091287,0.0053899,0.00483566,0.00186086
0.23,0.00780315,0.00653728,0.00395505,0.00038084
0.235,0.00782857,0.00584542,0.00153251,0.00010556
0.24,0.00595066,0.00557285,-0.00115718,-0.00111039
0.245,0.00380769,0.00135177,0.00075798,-0.00363046
0.25,0.00419759,-0.00114485,-0.002918,-0.00618168
0.255,-0.00116108,-0.00304042,-0.0058975,-0.00775525
0.26,-0.00519789,-0.00367168,-0.0082755,-0.00860582
0.265,-0.00682684,-0.00803328,-0.0074944,-0.01364462
0.27,-0.01004403,-0.01150311,-0.01269489,-0.01444439
0.275,-0.00988249,-0.01371797,-0.0171311,-0.0177705
0.28,-0.01234702,-0.01527035,-0.01960001,-0.01930494
0.285,-0.01429797,-0.01556184,-0.0188576,-0.02054373
0.29,-0.0186595,-0.02008382,-0.020736,-0.02151022
0.295,-0.01811711,-0.02081441,-0.02283269,-0.02347888
0.3,-0.02065247,-0.02030042,-0.02439693,-0.02322459
0.305,-0.01935638,-0.01953708,-0.02192232,-0.02158514
0.31,-0.02004817,-0.02144929,-0.02210821,-0.02028855
0.315,-0.01807521,-0.0194422,-0.01712652,-0.02066666
0.32,-0.01751412,-0.01849605,-0.01935775,-0.01680165
0.325,-0.01542233,-0.01881386,-0.01796085,-0.01693048
0.33,-0.01476549,-0.01720846,-0.01808814,-0.01736608
0.335,-0.01416505,-0.01434593,-0.01370932,-0.01429566
0.34,-0.0138867,-0.01468477,-0.01199817,-0.01128911
0.345,-0.01034999,-0.0104159,-0.01093218,-0.00860094
0.35,-0.01034587,-0.01061293,-0.00989212,-0.00905857
0.355,-0.01148264,-0.0087964,-0.00802222,-0.0076461
0.36,-0.00941194,-0.00786914,-0.00575785,-0.00637275
0.365,-0.0088706,-0.00841703,-0.00705676,-0.00712623
0.37,-0.00842429,-0.00763156,-0.00494874,-0.00467441
0.375,-0.00743984,-0.00852113,-0.00618789,-0.00678142
0.38,-0.00852695,-0.00770254,-0.00789378,-0.00387944
0.385,-0.00876699,-0.01047271,-0.00698484,-0.00666884
0.39,-0.00989334,-0.00862065,-0.00762802,-0.00875634
0.395,-0.01161282,-0.00883014,-0.00719851,-0.00527039
0.4,-0.00915049,-0.01211223,-0.00814717,-0.00948003
0.405,-0.00972863,-0.0101428,-0.01035643,-0.00582182
0.41,-0.01093987,-0.01247408,-0.00906213,-0.00866706
0.415,-0.01154653,-0.01106007,-0.00794065,-0.00927485
0.42,-0.01124244,-0.00861235,-0.00991146,-0.00736078
0.425,-0.01109889,-0.01077796,-0.00802861,-0.00700799
0.43,-0.0118487,-0.00784182,-0.00732233,-0.00664343
0.435,-0.01104202,-0.00979135,-0.00620009,-0.00586661
0.44,-0.00938116,-0.00852144,-0.00605161,-0.00499382
0.445,-0.0084856,-0.00781713,-0.00503684,-0.00332015
0.45,-0.00878294,-0.00779369,-0.00600438,-0.00384494
0.455,-0.00910153,-0.00539917,-0.00433833,-0.00067523
0.46,-0.00533626,-0.00561929,-0.00511582,-0.00181893
0.465,-0.00723735,-0.00656077,-0.0031485,-0.00040195
0.47,-0.00720123,-0.00530825,-0.00303236,0.001793
0.475,-0.00648644,-0.00485069,-0.00204519,0.00162199
0.48,-0.00656212,-0.00299671,-0.00033242,0.00207524
0.485,-0.00394672,-0.00341924,0.00073684,0.00122812
0.49,-0.00507982,-0.00094743,0.00118872,0.00279746
0.495,-0.00503097,-0.00069504,0.00064007,0.00276755
0.5,-0.00342213,7.746e-05,0.00023291,0.00510606
0.505,-0.00128369,0.00056244,0.00468002,0.00659366
0.51,-0.00048398,0.00203292,0.00584396,0.00589659
0.515,0.00162647,0.00386072,0.00693362,0.00924055
0.52,0.00406214,0.00762093,0.00898899,0.01049117
0.525,0.00506225,0.00936038,0.01132204,0.01414843
0.53,0.00788826,0.01091005,0.01283993,0.01455388
0.535,0.01104179,0.01142674,0.01582192,0.017215
0.54,0.01449865,0.01757118,0.01668238,0.01833749
0.545,0.01555954,0.01927308,0.01708965,0.0204747
0.55,0.01601122,0.01649635,0.01834652,0.01994097
0.555,0.02014888,0.01961224,0.02133447,0.02113601
0.56,0.02088385,0.02037001,0.02365867,0.02186599
0.565,0.02024642,0.02212814,0.02268605,0.02438626
0.57,0.02138948,0.02085055,0.02194337,0.02201821
0.575,0.02177205,0.02201854,0.02175563,0.02262689
0.58,0.019844,0.02062862,0.02098929,0.0220246
0.585,0.01919975,0.01915331,0.01831628,0.01955467
0.59,0.01731143,0.01827316,0.01571322,0.01799802
0.595,0.01493468,0.01535718,0.01672049,0.01351724
0.6,0.01442416,0.01429756,0.01260993,0.01400822
0.605,0.01421558,0.01033177,0.01011377,0.01131234
0.61,0.00970681,0.01009009,0.00975832,0.00916391
0.615,0.00925322,0.0089381,0.00712287,0.00795393
0.62,0.00769917,0.00781264,0.0059398,0.00525398
0.625,0.00705276,0.00626224,0.00432501,0.00477971
0.63,0.00800285,0.0059729,0.00532375,0.00403442
0.635,0.00723381,0.00569717,0.00442531,0.00365237
0.64,0.00642349,0.00442354,0.00420585,0.00084687
0.645,0.00668946,0.00611178,0.00568958,0.00314127
0.65,0.00819726,0.00623494,0.00394076,0.00207504
0.655,0.0070337,0.00556762,0.00627034,0.00393731
0.66,0.00938828,0.00778413,0.00743005,0.00593872
0.665,0.00898555,0.00820808,0.00659362,0.00397811
0.67,0.0110402,0.01035862,0.00777084,0.00573212
0.675,0.01204398,0.00735943,0.00844604,0.00682841
0.68,0.01077163,0.01142397,0.00951648,0.00666237
0.685,0.01141134,0.00973007,0.00806053,0.00559591
0.69,0.01278344,0.01097319,0.00913123,0.00551653
0.695,0.01314225,0.01149678,0.00801856,0.00514383
0.7,0.00962484,0.00927133,0.0061734,0.00520409
0.705,0.01081507,0.00648159,0.00814277,0.00578619
0.71,0.00757278,0.00555466,0.00474565,0.00200913
0.715,0.00752564,0.00326121,0.00358603,0.0035581
0.72,0.00559587,0.00438767,0.00105698,0.00105776
0.725,0.00539639,0.00540934,0.00147949,-0.00128837
0.73,0.00510086,0.0017961,-0.00130723,-0.00190799
0.735,0.00334561,0.00135251,-0.00077254,-0.00394215
0.74,0.00296057,0.00186841,-0.00336213,-0.0028286
0.745,0.00135696,-0.0016344,-0.00086077,-0.00545616
0.75,0.00205411,-0.00100823,-0.00594384,-0.00645867
0.755,-0.00076364,-0.00411223,-0.00697684,-0.00739195
0.76,-0.00061155,-0.00334462,-0.00645162,-0.00918485
0.765,-0.00323088,-0.0053115,-0.00815319,-0.00949316
0.77,-0.00342208,-0.00676294,-0.00839304,-0.01099782
0.775,-0.00469815,-0.00658612,-0.00911633,-0.0107834
0.78,-0.00779379,-0.00882838,-0.0102589,-0.01171888
0.785,-0.00934049,-0.00977699,-0.01067906,-0.01373189
0.79,-0.00957228,-0.01108529,-0.01308156,-0.0141472
0.795,-0.01123847,-0.01306179,-0.01561562,-0.01630647
0.8,-0.01193694,-0.0151257,-0.01651986,-0.01794237
0.805,-0.0142615,-0.01744853,-0.01691174,-0.01964558
0.81,-0.01786854,-0.01795228,-0.01904596,-0.01954507
0.815,-0.01733326,-0.01994985,-0.01989603,-0.02169219
0.82,-0.01846554,-0.02002307,-0.02070205,-0.02127104
0.825,-0.02151158,-0.02177196,-0.02130822,-0.02183004
0.83,-0.02121767,-0.02320947,-0.02182061,-0.02248171
0.835,-0.02261457,-0.02198877,-0.02363661,-0.0206665
0.84,-0.02042592,-0.02143671,-0.02212715,-0.02147288
0.845,-0.02073973,-0.02293059,-0.01989307,-0.01862695
0.85,-0.01980738,-0.01973365,-0.01845504,-0.01734416
0.855,-0.01696049,-0.01761983,-0.01757279,-0.01625961
0.86,-0.01616098,-0.01422564,-0.01521093,-0.01473428
0.865,-0.01532337,-0.01586005,-0.01242416,-0.01280064
0.87,-0.01372227,-0.01366312,-0.01169408,-0.00860546
0.875,-0.01186722,-0.01140777,-0.00828435,-0.00733132
0.88,-0.00832521,-0.00703817,-0.0065229,-0.00628549
0.885,-0.00730936,-0.00563959,-0.00540389,-0.00469185
0.89,-0.00481324,-0.00523056,-0.00386331,-0.0018441
0.895,-0.00397161,-0.00359331,-0.00279686,-0.00017005
0.9,-0.00232592,-0.0019034,-0.00120084,-0.00137474
0.905,-0.0005784,-0.00431636,-0.0020533,-0.00075545
0.91,-0.00292331,-0.00288944,-0.00328483,3.786e-05
0.915,-0.0045367,-0.0041346,-0.00356917,-0.00144427
0.92,-0.00629861,-0.00454315,-0.00360187,-0.00071332
0.925,-0.00775068,-0.00720438,-0.00470811,-0.00097894
0.93,-0.00838096,-0.00410219,-0.00442167,-0.00442391
