time_s,acc_DOF2_mps2,acc_DOF4_mps2,acc_DOF5_mps2,acc_DOF6_mps2
0.0,0.00673302,0.00917873,0.01391452,0.01453783
0.005,0.00623506,0.01152274,0.01453873,0.01616924
0.01,0.0116176,0.01701065,0.01694156,0.01762394
0.015,0.01254463,0.01862319,0.01924742,0.02196513
0.02,0.01507229,0.01968714,0.02112342,0.02300855
0.025,0.0179978,0.02088264,0.02183799,0.023682
0.03,0.01835378,0.02199397,0.02304843,0.02470065
0.035,0.01998442,0.02109652,0.02126807,0.0222249
0.04,0.02147149,0.01940723,0.02172202,0.02232823
0.045,0.01787617,0.01833876,0.02154345,0.02208726
0.05,0.01927459,0.01936564,0.02090143,0.01993657
0.055,0.01511789,0.01804832,0.01775012,0.01794404
0.06,0.0162287,0.01700544,0.01755299,0.01755237
0.065,0.01662463,0.01567279,0.01479076,0.01416677
0.07,0.01588767,0.01293919,0.01517719,0.01210134
0.075,0.0128865,0.01410714,0.01201848,0.00979018
0.08,0.01015481,0.0102548,0.01091239,0.00859039
0.085,0.01147,0.0108585,0.01216274,0.00808966
0.09,0.01052959,0.00850804,0.00697929,0.00571116
0.095,0.01145071,0.00871856,0.00898706,0.00509648
0.1,0.01251868,0.00852755,0.00851502,0.005939
0.105,0.01138409,0.0101204,0.0057059,0.0068645
0.11,0.00969276,0.00979022,0.00880198,0.00559912
0.115,0.00952151,0.00936904,0.00754282,0.00625653
0.12,0.01168138,0.01065592,0.00774057,0.00656521
0.125,0.00986683,0.00929706,0.0094072,0.00735957
0.13,0.01159836,0.00829747,0.00894329,0.00694414
0.135,0.01225031,0.00979928,0.00816523,0.00641551
0.14,0.01205603,0.00784291,0.00591755,0.00490475
0.145,0.00979166,0.00782993,0.00750564,0.0051409
0.15,0.01014126,0.00700738,0.00794381,0.00443403
0.155,0.01072347,0.00625199,0.0062527,0.0044378
0.16,0.00845217,0.00812661,0.00524043,0.00543993
0.165,0.00923523,0.00526502,0.00450136,0.00321524
0.17,0.00973205,0.00486991,0.00441531,0.00302748
0.175,0.00945626,0.00426307,0.00263589,0.00133748
0.18,0.00769004,0.00512468,0.00417732,0.00054559
0.185,0.00884636,0.00333665,0.00217672,0.00013889
0.19,0.00658297,0.00264314,0.00365696,-0.00044495
0.195,0.00769244,0.00543478,0.00146507,0.00045256
0.2,0.00795307,0.0053498,0.00291916,-0.0001314
0.205,0.00803341,0.0041996,0.00291991,-0.0004636
0.21,0.00863344,0.00401203,0.00232282,-0.00096187
0.215,0.00818182,0.00151052,-1.041e-05,-0.00055348
0.22,0.00856563,0.00372354,-0.00107688,-0.00258485
0.225,0.00734662,0.00338107,-0.00140429,-0.00278759
0.23,0.00466343,-0.00019274,-0.00075553,-0.00295109
0.235,0.00193182,0.00024785,-0.00253005,-0.00587866
0.24,0.00242079,-0.00223871,-0.0043861,-0.0065649
0.245,0.00120026,-0.00299839,-0.00533415,-0.00924109
0.25,-0.00075589,-0.00741642,-0.00909506,-0.00873488
0.255,-0.00478481,-0.00922832,-0.00824829,-0.01217251
0.26,-0.00603027,-0.01106611,-0.01223875,-0.01277801
0.265,-0.00789259,-0.01362531,-0.01462194,-0.01651742
0.27,-0.01129261,-0.01416329,-0.0163837,-0.01800703
0.275,-0.01364692,-0.01780746,-0.01803138,-0.01843843
0.28,-0.01613788,-0.01868648,-0.02051788,-0.02140261
0.285,-0.01716647,-0.02054485,-0.02151159,-0.02278204
0.29,-0.01941985,-0.02190217,-0.02395159,-0.02397654
0.295,-0.01882581,-0.02208982,-0.02560344,-0.02350362
0.3,-0.020922,-0.02456305,-0.02275444,-0.02282856
0.305,-0.02255248,-0.02285345,-0.02354859,-0.02347785
0.31,-0.01894566,-0.0220507,-0.02089306,-0.02212222
0.315,-0.02010089,-0.02051987,-0.01949832,-0.01927237
0.32,-0.0217673,-0.01917573,-0.01800914,-0.01958612
0.325,-0.01872476,-0.01862032,-0.01820345,-0.01733832
0.33,-0.01690318,-0.01556953,-0.01621344,-0.01383688
0.335,-0.01398033,-0.01056116,-0.01351779,-0.01038197
0.34,-0.01462419,-0.01062876,-0.01111426,-0.00858491
0.345,-0.01075658,-0.01011162,-0.00915086,-0.00667156
0.35,-0.01049662,-0.00709411,-0.00618638,-0.00487679
0.355,-0.00927294,-0.00882951,-0.00464076,-0.00396644
0.36,-0.00931966,-0.0064201,-0.00553,-0.00454005
0.365,-0.00835259,-0.00694689,-0.00431506,-0.0028783
0.37,-0.00810197,-0.00620656,-0.00383671,-0.00388061
0.375,-0.00785907,-0.00773415,-0.00424857,-0.00197911
0.38,-0.0097518,-0.00534211,-0.00385647,-0.0021801
0.385,-0.00891025,-0.00557831,-0.00396867,-0.00298647
0.39,-0.00804524,-0.00654722,-0.00594429,-0.0044739
0.395,-0.00897125,-0.0064232,-0.00638392,-0.00447165
0.4,-0.01041788,-0.00672772,-0.00754933,-0.00305035
0.405,-0.01004783,-0.00944891,-0.00729909,-0.00499743
0.41,-0.01083242,-0.00786013,-0.00610181,-0.00536345
0.415,-0.0086831,-0.00754142,-0.00648739,-0.00341988
0.42,-0.01131279,-0.00608689,-0.00684112,-0.00219952
